,date,hour,temperature_2m,snowfall,rain,weather_code,snow_depth,showers,Boro,Vol,street,fromSt,toSt,Direction
100,2024-01-06,20,36.4235,0.0,0.0,3.0,0.0,0.0,Queens,63,BROADWAY,Queens Boulevard,Queens Boulevard Line,SB
101,2024-01-06,20,36.4235,0.0,0.0,3.0,0.0,0.0,Brooklyn,10,METROPOLITAN AVENUE,Dead end,Varick Avenue,WB
102,2024-01-06,20,36.4235,0.0,0.0,3.0,0.0,0.0,Queens,56,GRAND AVENUE,72 Street,Mazeau Street,EB
103,2024-01-06,20,36.4235,0.0,0.0,3.0,0.0,0.0,Queens,62,BROADWAY,Queens Boulevard Line,Queens Boulevard,NB
104,2024-01-06,20,36.4235,0.0,0.0,3.0,0.0,0.0,Manhattan,12,9 AVENUE,West 219 Street,West 220 Street,SB
105,2024-01-06,21,33.7235,0.13779527,0.0,73.0,0.0,0.0,Queens,49,BROADWAY,Queens Boulevard,Queens Boulevard Line,SB
106,2024-01-06,21,33.7235,0.13779527,0.0,73.0,0.0,0.0,Brooklyn,21,METROPOLITAN AVENUE,Dead end,Varick Avenue,WB
107,2024-01-06,21,33.7235,0.13779527,0.0,73.0,0.0,0.0,Queens,37,GRAND AVENUE,72 Street,Mazeau Street,EB
108,2024-01-06,21,33.7235,0.13779527,0.0,73.0,0.0,0.0,Queens,57,BROADWAY,Queens Boulevard Line,Queens Boulevard,NB
109,2024-01-06,21,33.7235,0.13779527,0.0,73.0,0.0,0.0,Manhattan,10,9 AVENUE,West 219 Street,West 220 Street,SB
110,2024-01-06,22,33.1835,0.19291338,2.3466395e-09,73.0,0.0,0.0,Queens,53,BROADWAY,Queens Boulevard,Queens Boulevard Line,SB
111,2024-01-06,22,33.1835,0.19291338,2.3466395e-09,73.0,0.0,0.0,Brooklyn,16,METROPOLITAN AVENUE,Dead end,Varick Avenue,WB
112,2024-01-06,22,33.1835,0.19291338,2.3466395e-09,73.0,0.0,0.0,Queens,44,GRAND AVENUE,72 Street,Mazeau Street,EB
113,2024-01-06,22,33.1835,0.19291338,2.3466395e-09,73.0,0.0,0.0,Queens,37,BROADWAY,Queens Boulevard Line,Queens Boulevard,NB
114,2024-01-06,22,33.1835,0.19291338,2.3466395e-09,73.0,0.0,0.0,Manhattan,6,9 AVENUE,West 219 Street,West 220 Street,SB
115,2024-01-06,23,32.9135,0.19291338,0.015748033,73.0,0.032808397,0.0,Queens,50,BROADWAY,Queens Boulevard,Queens Boulevard Line,SB
116,2024-01-06,23,32.9135,0.19291338,0.015748033,73.0,0.032808397,0.0,Brooklyn,18,METROPOLITAN AVENUE,Dead end,Varick Avenue,WB
117,2024-01-06,23,32.9135,0.19291338,0.015748033,73.0,0.032808397,0.0,Queens,36,GRAND AVENUE,72 Street,Mazeau Street,EB
118,2024-01-06,23,32.9135,0.19291338,0.015748033,73.0,0.032808397,0.0,Queens,38,BROADWAY,Queens Boulevard Line,Queens Boulevard,NB
119,2024-01-06,23,32.9135,0.19291338,0.015748033,73.0,0.032808397,0.0,Manhattan,11,9 AVENUE,West 219 Street,West 220 Street,SB
120,2024-01-07,0,33.0035,0.22047244,0.015748033,73.0,0.065616794,0.0,Queens,58,BROADWAY,Queens Boulevard,Queens Boulevard Line,SB
121,2024-01-07,0,33.0035,0.22047244,0.015748033,73.0,0.065616794,0.0,Brooklyn,10,METROPOLITAN AVENUE,Dead end,Varick Avenue,WB
122,2024-01-07,0,33.0035,0.22047244,0.015748033,73.0,0.065616794,0.0,Queens,27,GRAND AVENUE,72 Street,Mazeau Street,EB
123,2024-01-07,0,33.0035,0.22047244,0.015748033,73.0,0.065616794,0.0,Queens,38,BROADWAY,Queens Boulevard Line,Queens Boulevard,NB
124,2024-01-07,0,33.0035,0.22047244,0.015748033,73.0,0.065616794,0.0,Manhattan,9,9 AVENUE,West 219 Street,West 220 Street,SB
125,2024-01-07,1,33.3635,0.08267717,0.027559055,73.0,0.065616794,0.0,Queens,41,BROADWAY,Queens Boulevard,Queens Boulevard Line,SB
126,2024-01-07,1,33.3635,0.08267717,0.027559055,73.0,0.065616794,0.0,Brooklyn,13,METROPOLITAN AVENUE,Dead end,Varick Avenue,WB
127,2024-01-07,1,33.3635,0.08267717,0.027559055,73.0,0.065616794,0.0,Queens,24,GRAND AVENUE,72 Street,Mazeau Street,EB
128,2024-01-07,1,33.3635,0.08267717,0.027559055,73.0,0.065616794,0.0,Queens,43,BROADWAY,Queens Boulevard Line,Queens Boulevard,NB
129,2024-01-07,1,33.3635,0.08267717,0.027559055,73.0,0.065616794,0.0,Manhattan,4,9 AVENUE,West 219 Street,West 220 Street,SB
130,2024-01-07,2,34.1735,0.05511811,0.03937008,71.0,0.065616794,0.0,Queens,38,BROADWAY,Queens Boulevard,Queens Boulevard Line,SB
131,2024-01-07,2,34.1735,0.05511811,0.03937008,71.0,0.065616794,0.0,Brooklyn,4,METROPOLITAN AVENUE,Dead end,Varick Avenue,WB
132,2024-01-07,2,34.1735,0.05511811,0.03937008,71.0,0.065616794,0.0,Queens,17,GRAND AVENUE,72 Street,Mazeau Street,EB
133,2024-01-07,2,34.1735,0.05511811,0.03937008,71.0,0.065616794,0.0,Queens,25,BROADWAY,Queens Boulevard Line,Queens Boulevard,NB
134,2024-01-07,2,34.1735,0.05511811,0.03937008,71.0,0.065616794,0.0,Manhattan,5,9 AVENUE,West 219 Street,West 220 Street,SB
135,2024-01-07,3,33.8135,0.13779527,0.027559057,73.0,0.065616794,0.0,Queens,30,BROADWAY,Queens Boulevard,Queens Boulevard Line,SB
136,2024-01-07,3,33.8135,0.13779527,0.027559057,73.0,0.065616794,0.0,Brooklyn,6,METROPOLITAN AVENUE,Dead end,Varick Avenue,WB
137,2024-01-07,3,33.8135,0.13779527,0.027559057,73.0,0.065616794,0.0,Queens,17,GRAND AVENUE,72 Street,Mazeau Street,EB
138,2024-01-07,3,33.8135,0.13779527,0.027559057,73.0,0.065616794,0.0,Queens,28,BROADWAY,Queens Boulevard Line,Queens Boulevard,NB
139,2024-01-07,3,33.8135,0.13779527,0.027559057,73.0,0.065616794,0.0,Manhattan,1,9 AVENUE,West 219 Street,West 220 Street,SB
140,2024-01-07,4,34.4435,0.3031496,0.027559053,73.0,0.065616794,0.0,Queens,41,BROADWAY,Queens Boulevard,Queens Boulevard Line,SB
141,2024-01-07,4,34.4435,0.3031496,0.027559053,73.0,0.065616794,0.0,Brooklyn,4,METROPOLITAN AVENUE,Dead end,Varick Avenue,WB
142,2024-01-07,4,34.4435,0.3031496,0.027559053,73.0,0.065616794,0.0,Queens,12,GRAND AVENUE,72 Street,Mazeau Street,EB
143,2024-01-07,4,34.4435,0.3031496,0.027559053,73.0,0.065616794,0.0,Queens,24,BROADWAY,Queens Boulevard Line,Queens Boulevard,NB
144,2024-01-07,4,34.4435,0.3031496,0.027559053,73.0,0.065616794,0.0,Manhattan,4,9 AVENUE,West 219 Street,West 220 Street,SB
145,2024-01-07,5,34.7135,0.027559055,0.03543307,71.0,0.065616794,0.0,Queens,26,BROADWAY,Queens Boulevard,Queens Boulevard Line,SB
146,2024-01-07,5,34.7135,0.027559055,0.03543307,71.0,0.065616794,0.0,Brooklyn,3,METROPOLITAN AVENUE,Dead end,Varick Avenue,WB
147,2024-01-07,5,34.7135,0.027559055,0.03543307,71.0,0.065616794,0.0,Queens,7,GRAND AVENUE,72 Street,Mazeau Street,EB
148,2024-01-07,5,34.7135,0.027559055,0.03543307,71.0,0.065616794,0.0,Queens,13,BROADWAY,Queens Boulevard Line,Queens Boulevard,NB
149,2024-01-07,5,34.7135,0.027559055,0.03543307,71.0,0.065616794,0.0,Manhattan,10,9 AVENUE,West 219 Street,West 220 Street,SB
150,2024-01-07,6,35.7035,0.0,0.035433073,53.0,0.065616794,0.0,Queens,32,BROADWAY,Queens Boulevard,Queens Boulevard Line,SB
151,2024-01-07,6,35.7035,0.0,0.035433073,53.0,0.065616794,0.0,Brooklyn,8,METROPOLITAN AVENUE,Dead end,Varick Avenue,WB
152,2024-01-07,6,35.7035,0.0,0.035433073,53.0,0.065616794,0.0,Queens,10,GRAND AVENUE,72 Street,Mazeau Street,EB
153,2024-01-07,6,35.7035,0.0,0.035433073,53.0,0.065616794,0.0,Queens,24,BROADWAY,Queens Boulevard Line,Queens Boulevard,NB
